//Note: These were mainly made for RetroAchievements so they might not fit other purposes.
//Intended for Master Quest but likely works for regular Paper Mario too, though MQ has extra rooms.

Area & Map IDs work in the following way: The first 2 symbols are the Area ID, the last 2 are the Map ID. So 1308 is a Area ID of 13 and a Map ID of 08.
+------+------+----- - -  -  -   -    -
|Battle|Area &| Boss
| 1001 |     | Shy Guy's Toybox, Red Station
| 100d |     | Shy Guy's Toybox, Red Station
| 100e |     | Shy Guy's Toybox, Red Station
| 0300 |     | inside a ...whale?
| 0301 |     | inside a ...whale?
| 0107 |     | on the sea between Toad Town & Lavalava Island
| 1100 |     | Lavalava Island, Beach
| 1101 |     | Lavalava Island, Beach
| 1102 |     | Yoshi's Village
| 1103 |     | Yoshi's Village
| 1114 |     | Lavalava Island, outside Mt. Lavalava
| 1105 |     | Jade Jungle
| 1104 |     | Jade Jungle
| 1108 |     | Jade Jungle
| 1109 |     | Jade Jungle
| 110b |     | Jade Jungle
| 110a |     | Jade Jungle
| 1106 |     | Jade Jungle
| 1107 |     | Jade Jungle
| 110c |     | Jade Jungle
| 110d |     | Jade Jungle
| 110e |     | Jade Jungle
| 110f |     | Jade Jungle
| 1110 |     | Jade Jungle
| 1111 |     | inside a big tree in Jade Jungle
| 1112 |     | inside a big tree in Jade Jungle
| 1113 |     | inside a big tree in Jade Jungle
| 1115 |     | atop a big tree in Jade Jungle
| 1200 |     | Mt. Lavalava
| 1201 |     | Mt. Lavalava
| 1202 |     | Mt. Lavalava
| 1203 |     | Mt. Lavalava
| 1204 |     | Mt. Lavalava
| 1205 |     | Mt. Lavalava
| 1206 |     | Mt. Lavalava
| 1207 |     | Mt. Lavalava
| 1208 |     | Mt. Lavalava
| 1209 |     | Mt. Lavalava
| 120a |     | Mt. Lavalava
| 120b |     | Mt. Lavalava
| 120c |     | Mt. Lavalava
| 120d |     | Mt. Lavalava
| 120e |     | Mt. Lavalava, escape-sequence
| 120f |     | Mt. Lavalava, escape-sequence
| 1210 |     | Mt. Lavalava, escape-sequence
| 1300 |     | Flower Fields, Central Area
| 1304 |     | Flower Fields, East Path
| 1301 |     | Flower Fields, East Path
| 1310 |     | Flower Fields, East Path
| 1313 |     | Flower Fields, Southwest Path
| 1302 |     | Flower Fields, Southwest Path
| 1303 |     | Flower Fields, Southeast Path
| 1312 |     | Flower Fields, Southeast Path
| 1305 |     | Flower Fields, Southeast Path
| 1311 |     | Flower Fields, West Path
| 1306 |     | Flower Fields, West Path
| 1307 |     | Flower Fields, West Path
| 1309 |     | Flower Fields, Northwest Path
| 1308 |     | Flower Fields, Northwest Path
| 130a |     | Flower Fields, Northwest Path
| 130b |     | Flower Fields, Northeast Path
| 130c |     | Flower Fields, Northeast Path
| 130d |     | Flower Fields, Northeast Path
| 130e |     | Cloudy Climb
| 130f |     | Cloudy Climb
| 1401 |     | Shiver City
| 1400 |     | Shiver City
| 140a |     | Shiver City
| 1402 |     | Shiver Snowfield
| 140e | MQ  | between Shiver Snowfield & Shooting Star Summit
| 140d | MQ  | between Shiver Snowfield & Shooting Star Summit
| 140c | MQ  | Shiver Snowfield
| 1403 |     | Shiver Snowfield
| 1404 |     | Shiver Snowfield
| 1405 |     | Starborn Valley
| 1406 |     | Shiver Mountain
| 1407 |     | Shiver Mountain
| 1408 |     | Shiver Mountain
| 1409 |     | Shiver Mountain
| 140b |     | Shiver Mountain
| 1500 |     | Crystal Palace
| 1501 |     | Crystal Palace
| 1502 |     | Crystal Palace
| 151d |     | Crystal Palace
| 1504 |     | Crystal Palace
| 150a |     | Crystal Palace
| 150b |     | Crystal Palace
| 150c |     | Crystal Palace
| 1503 |     | Crystal Palace
| 151e |     | Crystal Palace
| 1505 |     | Crystal Palace
| 1507 |     | Crystal Palace
| 1509 |     | Crystal Palace
| 1506 |     | Crystal Palace
| 1508 |     | Crystal Palace
| 150d |     | Crystal Palace
| 150e |     | Crystal Palace
| 1518 |     | Crystal Palace
| 151a |     | Crystal Palace
| 150f |     | Crystal Palace
| 1510 |     | Crystal Palace
| 1511 |     | Crystal Palace
| 1515 |     | Crystal Palace
| 1519 |     | Crystal Palace
| 1512 |     | Crystal Palace
| 151c |     | Crystal Palace
| 1514 |     | Crystal Palace
| 151b |     | Crystal Palace
| 1513 |     | Crystal Palace
| 1516 |     | Crystal Palace
| 151f |     | Crystal Palace
| 1517 |     | Crystal Palace
| 0502 |     | Star Way
| 0503 |     | Star Haven
| 0504 |     | Star Haven
| 0505 |     | Star Haven
| 0508 |     | Star Haven (travelling with vehicle cutscene)
| 1615 |     | Star haven (entering Bowser's Castle cutscene)
| 1618 |     | Bowser's Castle F1
| 1617 |     | Bowser's Castle F1
| 1606 |     | Bowser's Castle Basement
| 1619 |     | Bowser's Castle F1
| 1611 |     | Bowser's Castle F1
| 161a |     | Bowser's Castle F1
| 160c |     | Bowser's Castle Basement
| 1607 |     | Bowser's Castle Basement
| 1608 |     | Bowser's Castle Basement
| 160a |     | Bowser's Castle Basement
| 1609 |     | Bowser's Castle Basement
| 160b |     | Bowser's Castle Basement
| 1605 |     | Bowser's Castle Basement
| 1600 |     | Bowser's Castle Basement, dark room
| 1601 |     | Bowser's Castle Basement, dark room
| 1602 |     | Bowser's Castle F1
| 160d |     | Bowser's Castle F1
| 161d |     | Bowser's Castle F1
| 161e |     | Bowser's Castle F1, Toad Jail
| 1621 |     | Bowser's Castle, Storehouse
| 1612 |     | Bowser's Castle F2
| 1630 |     | Bowser's Castle F2
| 1631 |     | Bowser's Castle F2
| 162f |     | Bowser's Castle F2
| 1625 |     | Bowser's Castle F2
| 1626 |     | Bowser's Castle F2
| 1627 |     | Bowser's Castle F2
| 1628 |     | Bowser's Castle F2
| 1629 |     | Bowser's Castle F2
| 162a |     | Bowser's Castle F2
| 162b |     | Bowser's Castle F2
| 162c |     | Bowser's Castle F2
| 162d |     | Bowser's Castle F2
| 161b |     | Bowser's Castle F2
| 1616 |     | Bowser's Castle F2
| 160e |     | Bowser's Castle F2
| 161f |     | Bowser's Castle F2
| 1620 |     | Bowser's Castle F2, Toad Jail
| 1604 |     | Bowser's Castle F3
| 1623 |     | Bowser's Castle F3
| 1613 |     | Bowser's Castle F3
| 1603 |     | Bowser's Castle F3
| 1622 |     | Bowser's Castle F3
| 160f |     | Bowser's Castle F3
| 1610 |     | Bowser's Castle F3
| 1624 |     | Bowser's Castle F3
| 1614 |     | Bowser's Castle F3
| 161c |     | Bowser's Castle F3
| 162e |     | Bowser's Castle F3
| 1800 |     | Credits
| 1801 |     | Credits
| 0010 |     | Credits, watching the fireworks
| 002c | MQ  | Ancient Dungeon
| 001a | MQ  | Ancient Dungeon
| 001d | MQ  | Ancient Dungeon
| 0022 | MQ  | Ancient Dungeon
| 001f | MQ  | Ancient Dungeon
| 0021 | MQ  | Ancient Dungeon
| 001e | MQ  | Ancient Dungeon
| 0028 | MQ  | Ancient Dungeon
| 0023 | MQ  | Ancient Dungeon
| 0024 | MQ  | Ancient Dungeon
| 0026 | MQ  | Ancient Dungeon
| 0025 | MQ  | Ancient Dungeon
| 0027 | MQ  | Ancient Dungeon
| 002a | MQ  | Ancient Dungeon
| 002b | MQ  | Ancient Dungeon
| 0029 | MQ  | Ancient Dungeon
| 002d | MQ  | Ancient Dungeon
| 0020 | MQ  | Ancient Dungeon
| 002f | MQ  | Ancient Dungeon
| 0031 | MQ  | Ancient Dungeon
| 002e | MQ  | Ancient Dungeon
| 0030 | MQ  | Ancient Dungeon
| 0032 | MQ  | Ancient Dungeon
| 0033 | MQ  | Ancient Dungeon
| 0034 | MQ  | Ancient Dungeon
| 1c00 | MQ  | Pit of 100 Trials F1-9
| 1c0a | MQ  | Pit of 100 Trials, Rest Room
| 1c01 | MQ  | Pit of 100 Trials F11-19
| 1c02 | MQ  | Pit of 100 Trials F21-29
| 1c03 | MQ  | Pit of 100 Trials F31-39
| 1c04 | MQ  | Pit of 100 Trials F41-49
| 1c05 | MQ  | Pit of 100 Trials F51-59
| 1c06 | MQ  | Pit of 100 Trials F61-69
| 1c07 | MQ  | Pit of 100 Trials F71-79
| 1c08 | MQ  | Pit of 100 Trials F81-89
| 1c09 | MQ  | Pit of 100 Trials F91-99
| 0035 | MQ  | Bottom of the Pit of 100 Trials
+------+-----+------------ - -  -  -   -    -
